City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
194,Bilma,NE,2021-04-11 22:21:14,18.6853,12.9164,84.06,8,12,9.95,few clouds
195,Poronaysk,RU,2021-04-11 22:21:14,49.2167,143.1167,38.97,83,100,3.65,overcast clouds
196,Saldanha,ZA,2021-04-11 22:21:15,-33.0117,17.9442,60.8,82,100,5.75,overcast clouds
197,Tarakan,ID,2021-04-11 22:21:15,3.3,117.6333,75.2,94,75,10.36,moderate rain
198,Loei,TH,2021-04-11 22:21:15,17.4167,101.5,82.99,89,39,1.61,scattered clouds
199,Point Pedro,LK,2021-04-11 22:21:16,9.8167,80.2333,81.68,76,78,8.9,broken clouds
200,Krasnoselkup,RU,2021-04-11 22:21:16,65.7,82.4667,31.68,97,100,20.74,snow
201,Vestmannaeyjar,IS,2021-04-11 22:21:16,63.4427,-20.2734,40.87,86,100,16.93,overcast clouds
202,Harrismith,ZA,2021-04-11 22:21:16,-28.2728,29.1295,57.78,50,3,1.45,clear sky
203,Moerai,PF,2021-04-11 22:21:17,-22.4333,-151.3333,79.95,73,96,14.41,overcast clouds
204,Kahului,US,2021-04-11 22:21:17,20.8947,-156.47,75.2,78,40,11.5,light rain
205,Norman Wells,CA,2021-04-11 22:21:17,65.282,-126.8329,6.8,40,1,10.36,clear sky
206,Chokurdakh,RU,2021-04-11 22:21:18,70.6333,147.9167,-9.63,94,50,10.47,scattered clouds
207,Chapais,CA,2021-04-11 22:17:43,49.7834,-74.8492,55.4,35,1,11.5,clear sky
208,Yurgamysh,RU,2021-04-11 22:21:18,55.3714,64.4656,34.97,89,57,8.97,broken clouds
209,Broken Hill,AU,2021-04-11 22:17:52,-31.95,141.4333,46.4,61,15,2.3,few clouds
210,Kalmar,SE,2021-04-11 22:21:18,56.6616,16.3616,37.99,100,100,3.44,overcast clouds
211,Sioux Lookout,CA,2021-04-11 22:21:19,50.1001,-91.917,37.4,93,90,9.22,mist
212,Hualmay,PE,2021-04-11 22:21:19,-11.0964,-77.6139,70.83,80,95,8.01,overcast clouds
213,Puerto Ayora,EC,2021-04-11 22:21:19,-0.7393,-90.3518,80.6,78,40,9.22,scattered clouds
214,Nhulunbuy,AU,2021-04-11 22:21:19,-12.2333,136.7667,78.8,89,57,4.18,broken clouds
215,Baghdad,IQ,2021-04-11 22:21:20,33.3406,44.4009,59.0,44,0,5.75,clear sky
216,Mandiana,GN,2021-04-11 22:21:20,10.6333,-8.6833,89.73,28,59,3.89,broken clouds
217,Qaanaaq,GL,2021-04-11 22:21:20,77.484,-69.3632,23.13,93,100,11.88,snow
218,Talnakh,RU,2021-04-11 22:21:21,69.4865,88.3972,23.52,94,100,13.27,overcast clouds
219,Joensuu,FI,2021-04-11 22:21:21,62.6012,29.7632,30.2,74,0,2.3,clear sky
220,Sur,OM,2021-04-11 22:21:21,22.5667,59.5289,81.03,64,0,9.95,clear sky
221,Coolum Beach,AU,2021-04-11 22:21:21,-26.5333,153.1,66.99,61,4,1.99,clear sky
222,Marystown,CA,2021-04-11 22:21:22,47.1666,-55.1483,34.9,90,96,10.02,overcast clouds
223,Zyryanka,RU,2021-04-11 22:21:22,65.75,150.85,-13.68,98,100,2.21,overcast clouds
224,Odweyne,SO,2021-04-11 22:21:22,9.4092,45.064,74.32,34,11,6.04,few clouds
225,Jalgaon,IN,2021-04-11 22:21:10,21.0167,75.5667,88.72,20,80,5.66,broken clouds
226,Inhambane,MZ,2021-04-11 22:21:23,-23.865,35.3833,72.81,82,0,7.31,clear sky
227,Upernavik,GL,2021-04-11 22:21:23,72.7868,-56.1549,31.05,73,100,20.83,overcast clouds
228,Kijini,TZ,2021-04-11 22:21:23,-5.85,39.3167,80.6,89,40,11.5,moderate rain
229,Pitimbu,BR,2021-04-11 22:21:24,-7.4706,-34.8086,75.2,100,75,8.05,light rain
230,Bongandanga,CD,2021-04-11 22:21:24,1.5,21.05,70.0,89,98,2.24,overcast clouds
231,Gat,IL,2021-04-11 22:18:15,31.61,34.7642,55.0,71,1,5.37,clear sky
232,Sorland,NO,2021-04-11 22:21:24,67.667,12.6934,37.67,62,100,14.29,overcast clouds
233,Eyl,SO,2021-04-11 22:21:24,7.9803,49.8164,78.94,70,30,8.37,scattered clouds
234,Terney,RU,2021-04-11 22:21:25,45.0503,136.6092,46.4,68,50,5.23,scattered clouds
235,Olinda,BR,2021-04-11 22:21:25,-8.0089,-34.8553,73.4,88,90,2.3,moderate rain
236,Sitka,US,2021-04-11 22:21:25,57.0531,-135.33,39.2,75,90,3.44,light snow
237,Najran,SA,2021-04-11 22:21:26,17.4924,44.1277,77.0,18,20,5.35,few clouds
238,Arkhangelskoye,RU,2021-04-11 22:21:26,55.8549,35.3287,43.2,77,2,5.28,clear sky
239,Nanakuli,US,2021-04-11 22:21:26,21.3906,-158.1547,69.8,73,90,4.61,light rain
240,Zhanaozen,KZ,2021-04-11 22:21:26,43.3,52.8,58.66,45,17,22.01,few clouds
241,Aklavik,CA,2021-04-11 22:21:27,68.2191,-135.0107,10.4,34,15,5.75,few clouds
242,Athenry,IE,2021-04-11 22:21:27,53.2964,-8.7431,42.8,87,75,8.05,broken clouds
243,Chara,RU,2021-04-11 22:21:27,56.9064,118.2631,0.18,77,100,2.01,overcast clouds
244,Kropotkin,RU,2021-04-11 22:21:27,45.4375,40.5756,48.0,81,100,3.78,overcast clouds
245,Hay River,CA,2021-04-11 22:21:28,60.8156,-115.7999,10.4,72,100,10.36,overcast clouds
246,Inirida,CO,2021-04-11 22:21:28,3.8653,-67.9239,78.69,92,100,0.96,overcast clouds
247,Gloversville,US,2021-04-11 22:21:28,43.0528,-74.3438,60.8,72,90,10.36,light rain
248,Ambilobe,MG,2021-04-11 22:21:28,-13.2,49.05,73.27,92,95,2.44,overcast clouds
249,Pisco,PE,2021-04-11 22:21:29,-13.7,-76.2167,73.4,64,0,21.85,clear sky
250,Kaitangata,NZ,2021-04-11 22:21:29,-46.2817,169.8464,55.24,91,38,4.74,scattered clouds
251,San Andres,CO,2021-04-11 22:17:46,12.5847,-81.7006,84.2,79,20,9.22,few clouds
252,San Patricio,US,2021-04-11 22:21:29,28.017,-97.5169,86.0,48,1,12.66,clear sky
253,Boda,CF,2021-04-11 22:21:30,4.3189,17.4695,72.45,90,94,4.74,overcast clouds
254,Zverinogolovskoye,RU,2021-04-11 22:21:13,54.4586,64.8542,31.55,83,16,8.12,few clouds
255,Cayenne,GF,2021-04-11 22:21:30,4.9333,-52.3333,81.0,89,0,2.3,clear sky
256,Honningsvag,NO,2021-04-11 22:21:30,70.9821,25.9704,35.44,65,83,31.5,broken clouds
257,Chino Valley,US,2021-04-11 22:21:31,34.7575,-112.4538,78.01,9,1,12.66,clear sky
258,Zinder,NE,2021-04-11 22:21:31,13.8072,8.9881,84.25,7,60,11.07,broken clouds
259,Naze,JP,2021-04-11 22:21:31,28.3667,129.4833,69.8,73,20,17.27,few clouds
260,Pires Do Rio,BR,2021-04-11 22:21:31,-17.2997,-48.2794,69.49,67,0,2.93,clear sky
