City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
456,Howard Springs,AU,80.6,overcast clouds,-12.497,131.047,buffalo beach hostel
457,Gouyave,GD,86.0,few clouds,12.1646,-61.7296,Rumboat Retreat
458,Porto Belo,BR,82.0,few clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
462,Mehriz,IR,73.4,dust,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
463,Salalah,OM,82.4,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
466,Eydhafushi,MV,81.99,clear sky,5.1033,73.0708,Soneva Fushi
467,Yulara,AU,73.4,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
468,Yarada,IN,81.1,overcast clouds,17.65,83.2667,Jeevan
471,Nchelenge,ZM,68.45,light rain,-9.3451,28.734,KD Travellers Home
473,Tautira,PF,86.0,light rain,-17.7333,-149.15,Pension Oaoa
474,Samarai,PG,79.23,light rain,-10.6167,150.6667,Nuli Sapi
477,Basco,PH,75.13,broken clouds,20.4487,121.9702,Nathaniel's Lodge
478,Katherine,AU,77.0,broken clouds,-14.4667,132.2667,Pine Tree Motel
482,Sabang,ID,83.26,overcast clouds,5.8933,95.3214,Hotel Citra
485,Nabire,ID,75.42,heavy intensity rain,-3.3667,135.4833,Hotel Nusantara Nabire
487,Binga,ZW,69.71,clear sky,-17.6203,27.3414,Lakeview Inn Binga
489,Oistins,BB,84.2,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
490,Poum,NC,77.95,overcast clouds,-20.2333,164.0167,Gîte kajeon
491,Araouane,ML,89.42,clear sky,18.9048,-3.5265,
492,Daultala,PK,66.99,overcast clouds,33.1925,73.1413,Waheed garmints and cosmetic
495,Porto Velho,BR,77.0,moderate rain,-8.7619,-63.9039,Hotel Central
497,Houma,US,84.99,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
498,Vao,NC,77.7,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
500,Puerto Maldonado,PE,75.2,moderate rain,-12.6,-69.1833,Wasai Hotel
501,Lupiro,TZ,70.14,light rain,-8.3833,36.6667,AFRICAN JACCANA EXECUTIVE LODGE
507,Omboue,GA,78.69,broken clouds,-1.5746,9.2618,Hotel Olako
509,Qarqin,AF,68.02,clear sky,37.4185,66.0436,
511,Goundi,TD,92.97,broken clouds,9.3627,17.366,
512,Pemba,MZ,78.8,moderate rain,-12.974,40.5178,Guesthouse Samotina
513,Bud,US,78.01,scattered clouds,39.446999999999996,-86.1758,Ted McQuinn Trust
515,Carnot,CF,71.06,light rain,4.9409,15.8665,
518,Banjar,ID,80.6,few clouds,-8.19,114.9675,The Hamsa Resort
519,Hambantota,LK,78.69,clear sky,6.1241,81.1185,Bungalow 63
522,Banda Aceh,ID,79.16,broken clouds,5.5577,95.3222,Sulthan Hotel International
524,Trincomalee,LK,81.7,broken clouds,8.5711,81.2335,Welcombe Hotel
525,Fayaoue,NC,77.32,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
528,Port-Gentil,GA,80.6,scattered clouds,-0.7193,8.7815,Fengshui Residence
530,Batticaloa,LK,80.04,few clouds,7.7102,81.6924,Grand Star Guest House
532,Jieshi,CN,66.99,clear sky,22.8134,115.8257,Yuehai Hotel
536,Biltine,TD,85.59,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
537,San Quintin,MX,65.28,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
542,Gandajika,CD,67.41,overcast clouds,-6.75,23.95,
